時間,收盤價,新台幣
2018/5/21,10966.2,29.906
2018/5/22,10938.73,29.912
2018/5/23,10886.18,29.992
2018/5/24,10936.93,29.922
2018/5/25,10942.3,29.96
2018/5/28,10987.77,29.93
2018/5/29,10964.12,29.945
2018/5/30,10821.17,29.928
2018/5/31,10874.96,29.988
2018/6/1,10949.08,30.05
2018/6/4,11109.5,29.98
2018/6/5,11100.11,29.864
2018/6/6,11201.83,29.82
2018/6/7,11251.75,29.815
2018/6/8,11156.42,29.738
2018/6/11,11149.23,29.74
2018/6/12,11144.79,29.816
2018/6/13,11173.21,29.821
2018/6/14,11013.98,29.86
2018/6/15,11087.47,29.89
2018/6/19,10904.19,29.938
2018/6/20,10927.44,30.002
2018/6/21,10941.07,30.186
2018/6/22,10899.28,30.17
2018/6/25,10786.46,30.302
2018/6/26,10742.17,30.307
2018/6/27,10701.03,30.403
2018/6/28,10654.28,30.412
2018/6/29,10836.91,30.454
2018/7/2,10777.94,30.586
2018/7/3,10715.72,30.5
2018/7/4,10721.87,30.523
2018/7/5,10611.81,30.586
2018/7/6,10608.57,30.501
2018/7/9,10720.28,30.54
2018/7/10,10756.89,30.5
2018/7/11,10676.84,30.386
2018/7/12,10738.38,30.403
2018/7/13,10864.54,30.481
2018/7/16,10817.45,30.542
2018/7/17,10778.99,30.556
2018/7/18,10842.46,30.575
2018/7/19,10835.38,30.516
2018/7/20,10932.11,30.582
2018/7/23,10946.89,30.632
2018/7/24,10995.39,30.716
2018/7/25,10965.79,30.645
2018/7/26,11010.61,30.72
2018/7/27,11075.78,30.632
2018/7/30,11033.54,30.573
2018/7/31,11057.51,30.592
2018/8/1,11098.13,30.609
2018/8/2,10929.77,30.614
2018/8/3,11012.43,30.616
2018/8/6,11024.1,30.682
2018/8/7,10983.44,30.706
2018/8/8,11075.25,30.63
2018/8/9,11028.07,30.621
2018/8/10,10983.68,30.616
2018/8/13,10748.92,30.626
2018/8/14,10824.23,30.708
2018/8/15,10716.75,30.812
2018/8/16,10683.9,30.807
2018/8/17,10690.96,30.858
2018/8/20,10699.05,30.845
2018/8/21,10792.2,30.802
2018/8/22,10804.2,30.76
2018/8/23,10863.13,30.73
2018/8/24,10809.35,30.73
2018/8/27,10902.21,30.79
2018/8/28,10989.55,30.783
2018/8/29,11099.57,30.772
2018/8/30,11093.75,30.724
2018/8/31,11063.94,30.706
2018/9/3,10964.22,30.711
2018/9/4,11021.38,30.731
2018/9/5,10995.13,30.712
2018/9/6,10924.3,30.766
2018/9/7,10846.99,30.806
2018/9/10,10725.8,30.802
2018/9/11,10752.3,30.776
2018/9/12,10722.57,30.83
2018/9/13,10727.23,30.814
2018/9/14,10868.14,30.825
2018/9/17,10828.61,30.805
2018/9/18,10760.21,30.76
2018/9/19,10857.27,30.805
2018/9/20,10831.41,30.813
2018/9/21,10972.41,30.793
2018/9/25,10978.85,30.795
2018/9/26,10974.19,30.716
2018/9/27,11034.19,30.675
2018/9/28,11006.34,30.697
2018/10/1,11051.8,30.602
2018/10/2,10919.63,30.551
2018/10/3,10863.94,30.556
2018/10/4,10718.91,30.668
2018/10/5,10517.12,30.67
2018/10/8,10455.93,30.792
2018/10/9,10466.83,30.84
2018/10/11,9806.11,30.926
2018/10/12,10045.81,30.968
2018/10/15,9901.12,31.105
2018/10/16,9981.1,30.91
2018/10/17,9979.14,30.94
2018/10/18,9953.73,30.92
2018/10/19,9919.26,30.85
2018/10/22,9974.28,30.975
2018/10/23,9775.2,30.976
2018/10/24,9759.4,30.92
2018/10/25,9520.79,30.985
2018/10/26,9489.18,30.947
2018/10/29,9516.32,30.996
2018/10/30,9526.11,31.006
2018/10/31,9802.13,30.996
2018/11/1,9844.74,30.985
2018/11/2,9906.59,30.968
2018/11/5,9889.81,30.926
2018/11/6,9824.95,30.738
2018/11/7,9908.35,30.771
2018/11/8,9945.31,30.782
2018/11/9,9830.01,30.76
2018/11/12,9831.21,30.702
2018/11/13,9775.84,30.812
2018/11/14,9791.88,30.888
2018/11/15,9826.46,30.902
2018/11/16,9797.09,30.932
2018/11/19,9828.69,30.845
2018/11/20,9743.99,30.888
2018/11/21,9741.52,30.906
2018/11/22,9714.71,30.908
2018/11/23,9667.3,30.908
2018/11/26,9765.36,30.894
2018/11/27,9778.62,30.902
2018/11/28,9884.31,30.886
2018/11/29,9885.36,30.9
2018/11/30,9888.03,30.91
2018/12/3,10137.87,30.84
2018/12/4,10083.54,30.85
2018/12/5,9916.74,30.752
2018/12/6,9684.72,30.705
2018/12/7,9760.88,30.806
2018/12/10,9647.54,30.857
2018/12/11,9707.04,30.841
2018/12/12,9816.45,30.877
2018/12/13,9858.76,30.894
2018/12/14,9774.16,30.881
2018/12/17,9787.53,30.85
2018/12/18,9718.82,30.867
2018/12/19,9783.21,30.87
2018/12/20,9674.52,30.87
2018/12/21,9676.67,30.813
2018/12/22,9646.16,30.843
2018/12/24,9639.7,30.8
2018/12/25,9527.09,30.824
2018/12/26,9478.99,30.838
2018/12/27,9641.56,30.81
2018/12/28,9727.41,30.815
2019/1/2,9554.14,30.802
2019/1/3,9492.42,30.733
2019/1/4,9382.51,30.794
2019/1/7,9590.3,30.886
2019/1/8,9563.6,30.863
2019/1/9,9738.31,30.812
2019/1/10,9720.69,30.836
2019/1/11,9759.4,30.801
2019/1/14,9708.22,30.782
2019/1/15,9806.04,30.802
2019/1/16,9763.81,30.851
2019/1/17,9789.15,30.82
2019/1/18,9836.06,30.831
2019/1/21,9889.4,30.852
2019/1/22,9894.66,30.842
2019/1/23,9846.4,30.851
2019/1/24,9877.12,30.896
2019/1/25,9969.61,30.892
2019/1/28,10013.33,30.885
2019/1/29,9931.59,30.825
2019/1/30,9932.26,30.79
2019/2/11,10004.25,30.811
2019/2/12,10097.74,30.776
2019/2/13,10090.58,30.74
2019/2/14,10089.01,30.745
2019/2/15,10064.78,30.809
2019/2/18,10145.28,30.831
2019/2/19,10152.26,30.831
2019/2/20,10272.46,30.833
2019/2/21,10319.53,30.85
2019/2/22,10322.92,30.843
2019/2/25,10390.93,30.846
2019/2/26,10391.55,30.824
2019/2/27,10389.17,30.83
2019/3/4,10349.88,30.822
2019/3/5,10305.26,30.823
2019/3/6,10357.15,30.793
2019/3/7,10311.68,30.783
2019/3/8,10241.75,30.775
2019/3/11,10250.28,30.83
2019/3/12,10343.33,30.847
2019/3/13,10373.32,30.852
2019/3/14,10348.65,30.869
2019/3/15,10439.24,30.902
2019/3/18,10512.7,30.91
2019/3/19,10512.32,30.905
2019/3/20,10551.56,30.91
2019/3/21,10609.55,30.901
2019/3/22,10639.07,30.888
2019/3/25,10479.48,30.832
2019/3/26,10559.2,30.838
2019/3/27,10542.7,30.833
2019/3/28,10536.26,30.816
2019/3/29,10641.04,30.806
2019/4/1,10642.63,30.83
2019/4/2,10690.3,30.835
2019/4/3,10704.38,30.856
2019/4/8,10800.57,30.856
2019/4/9,10851.6,30.825
2019/4/10,10868.14,30.801
2019/4/11,10808.77,30.843
2019/4/12,10805.3,30.817
2019/4/15,10875.6,30.845
2019/4/16,10927.85,30.841
2019/4/17,10997.26,30.845
2019/4/18,10962.02,30.866
2019/4/19,10968.5,30.88
2019/4/22,10987.71,30.866
2019/4/23,11025.68,30.874
2019/4/24,11027.64,30.848
2019/4/25,11039.86,30.841
2019/4/26,10952.47,30.842
2019/4/29,10939.06,30.856
2019/4/30,10967.73,30.858
2019/5/2,11004.49,30.875
2019/5/3,11096.3,30.905
2019/5/6,10897.12,30.907
2019/5/7,10987.14,30.897
2019/5/8,10923.71,30.905
2019/5/9,10733.67,30.905
2019/5/10,10712.99,30.907
2019/5/13,10558.29,30.925
2019/5/14,10519.25,30.911
2019/5/15,10560.71,30.92
2019/5/16,10474.61,30.956
2019/5/17,10384.11,30.958
2019/5/20,10398.41,31.082
2019/5/21,10464.5,31.128
2019/5/22,10457.22,31.11
2019/5/23,10308.37,31.165
2019/5/24,10328.28,31.297
2019/5/27,10334.13,31.385
2019/5/28,10312.31,31.46
2019/5/29,10301.78,31.53
2019/5/30,10382.99,31.547
2019/5/31,10498.49,31.52
2019/6/3,10500.07,31.45
2019/6/4,10429.12,31.484
2019/6/5,10461.62,31.581
2019/6/6,10409.2,31.61
2019/6/10,10566.47,31.612
2019/6/11,10607.76,31.503
2019/6/12,10615.66,31.48
2019/6/13,10561.01,31.39
2019/6/14,10524.67,31.402
2019/6/17,10530.54,31.436
2019/6/18,10566.74,31.436
2019/6/19,10775.34,31.43
2019/6/20,10785.01,31.512
2019/6/21,10803.77,31.53
2019/6/24,10779.45,31.52
2019/6/25,10706.72,31.528
2019/6/26,10652.55,31.35
2019/6/27,10773.9,31.175
2019/6/28,10730.83,31.15
2019/7/1,10895.46,31.11
2019/7/2,10865.12,31.115
2019/7/3,10743.77,31.14
2019/7/4,10775.9,31.101
2019/7/5,10785.73,31.072
2019/7/8,10751.22,31.002
2019/7/9,10702.78,31.052
2019/7/10,10798.48,31.13
2019/7/11,10843.42,31.102
2019/7/12,10824.35,31.107
2019/7/15,10876.43,31.196
2019/7/16,10886.05,31.181
2019/7/17,10828.48,31.16
2019/7/18,10799.28,31.026
2019/7/19,10873.19,31.081
2019/7/22,10944.53,31.052
2019/7/23,10947.26,31.042
2019/7/24,10935.76,31.075
2019/7/25,10941.41,31.077
2019/7/26,10891.98,31.05
2019/7/29,10885.73,31.083
2019/7/30,10830.9,31.091
2019/7/31,10823.81,31.084
2019/8/1,10731.75,31.085
2019/8/2,10549.04,31.09
2019/8/5,10423.41,31.102
2019/8/6,10394.75,31.075
2019/8/7,10386.18,31.096
2019/8/8,10494.49,31.182
2019/8/12,10472.36,31.376
2019/8/13,10362.66,31.628
2019/8/14,10427.73,31.51
2019/8/15,10327.13,31.487
2019/8/16,10420.89,31.363
2019/8/19,10488.75,31.4
2019/8/20,10522.5,31.506
2019/8/21,10525.8,31.402
2019/8/22,10529.78,31.405
2019/8/23,10538.11,31.366
2019/8/26,10354.57,31.352
2019/8/27,10387.23,31.405
2019/8/28,10434.29,31.366
2019/8/29,10462.43,31.384
2019/8/30,10618.05,31.402
2019/9/2,10634.85,31.451
2019/9/3,10558.21,31.415
2019/9/4,10657.31,31.42
2019/9/5,10756.93,31.442
2019/9/6,10780.64,31.41
2019/9/9,10801.14,31.402
2019/9/10,10753.58,31.432
2019/9/11,10790.35,31.365
2019/9/12,10827.55,31.28
2019/9/16,10898.13,31.257
2019/9/17,10874.5,31.25
2019/9/18,10929.45,31.23
2019/9/19,10894.7,31.22
2019/9/20,10929.69,31.055
2019/9/23,10919.02,31.002
2019/9/24,10918.01,31.035
2019/9/25,10873.69,31
2019/9/26,10871.99,31.006
2019/9/27,10829.68,30.98
2019/10/1,10967.65,31.057
2019/10/2,10947.88,31.013
2019/10/3,10875.91,31.034
2019/10/4,10894.48,31.04
2019/10/7,10935.06,31.042
2019/10/8,11017.31,31.045
2019/10/9,10889.96,31.063
2019/10/14,11066.95,31.064
2019/10/15,11111.8,30.973
2019/10/16,11162.83,30.973
2019/10/17,11186.88,30.902
2019/10/18,11180.22,30.842
2019/10/21,11184.15,30.85
2019/10/22,11271.25,30.62
2019/10/23,11239.67,30.686
2019/10/24,11320.14,30.722
2019/10/25,11296.12,30.681
2019/10/28,11315.02,30.611
2019/10/29,11333.87,30.592
2019/10/30,11380.28,30.594
2019/10/31,11358.71,30.611
2019/11/1,11399.53,30.586
2019/11/4,11556.85,30.594
2019/11/5,11644.03,30.572
2019/11/6,11653.07,30.522
2019/11/7,11606.56,30.533
2019/11/8,11579.54,30.462
2019/11/11,11427.28,30.479
2019/11/12,11520.37,30.405
2019/11/13,11467.83,30.371
2019/11/14,11450.42,30.4
2019/11/15,11525.6,30.406
2019/11/18,11599.78,30.412
2019/11/19,11656.4,30.435
2019/11/20,11631.2,30.422
2019/11/21,11558.27,30.503
2019/11/22,11566.8,30.582
2019/11/25,11561.58,30.538
2019/11/26,11576.82,30.501
2019/11/27,11647.46,30.507
2019/11/28,11617.08,30.5
2019/11/29,11489.57,30.524
2019/12/2,11502.83,30.517
2019/12/3,11531.58,30.507
2019/12/4,11510.47,30.512
2019/12/5,11594.65,30.515
2019/12/6,11609.64,30.505
2019/12/9,11660.77,30.513
2019/12/10,11627.84,30.509
2019/12/11,11700.77,30.507
2019/12/12,11836.42,30.508
2019/12/13,11927.73,30.5
2019/12/16,11939.77,30.5
2019/12/17,12097.01,30.502
2019/12/18,12122.45,30.503
2019/12/19,12018.9,30.505
2019/12/20,11959.08,30.406
2019/12/23,12022.23,30.317
2019/12/24,11976.38,30.263
2019/12/25,12008.13,30.21
2019/12/26,12001.01,30.233
2019/12/27,12091.59,30.208
2019/12/30,12053.37,30.21
2019/12/31,11997.14,30.215
2020/1/2,12100.48,30.205
2020/1/3,12110.43,30.203
2020/1/6,11953.36,30.201
2020/1/7,11880.32,30.203
2020/1/8,11817.1,30.135
2020/1/9,11970.63,30.106
2020/1/10,12024.65,30.114
2020/1/13,12113.42,30.105
2020/1/14,12179.81,30.11
2020/1/15,12091.88,30.082
2020/1/16,12066.93,30.087
2020/1/17,12090.29,30.008
2020/1/20,12118.71,30.019
2020/1/30,11421.74,29.952
2020/1/31,11495.1,29.942
2020/2/3,11354.92,29.95
2020/2/4,11555.92,29.955
2020/2/5,11573.62,29.96
2020/2/6,11749.68,29.96
2020/2/7,11612.81,30.277
2020/2/10,11574.07,30.25
2020/2/11,11664.04,30.332
2020/2/12,11774.19,30.207
2020/2/13,11791.78,30.152
2020/2/14,11815.7,30.082
2020/2/17,11763.51,30.126
2020/2/18,11648.98,30.102
2020/2/19,11758.84,30.068
2020/2/20,11725.09,30.032
2020/2/21,11686.35,30.037
2020/2/24,11534.87,30.051
2020/2/25,11540.23,30.051
2020/2/26,11433.62,30.056
2020/2/27,11292.17,30.125
2020/3/2,11170.46,30.152
2020/3/3,11327.72,30.254
2020/3/4,11392.35,30.403
2020/3/5,11514.82,30.472
2020/3/6,11321.81,30.402
2020/3/9,10977.64,30.383
2020/3/10,11003.54,30.33
2020/3/11,10893.75,30.124
2020/3/12,10422.32,30.087
2020/3/13,10128.87,30.038
2020/3/16,9717.77,29.96
2020/3/17,9439.63,30.04
2020/3/18,9218.67,30.13
2020/3/19,8681.34,30.036
2020/3/20,9234.09,30.095
2020/3/23,8890.03,30.15
2020/3/24,9285.62,30.21
2020/3/25,9644.75,30.22
2020/3/26,9736.36,30.25
2020/3/27,9698.92,30.276
2020/3/30,9629.43,30.506
2020/3/31,9708.06,30.302
2020/4/1,9663.63,30.405
2020/4/6,9818.74,30.316
2020/4/7,9996.39,30.325
2020/4/8,10137.47,30.306
2020/4/9,10119.43,30.236
2020/4/10,10157.61,30.25
2020/4/13,10099.22,30.254
2020/4/14,10332.94,30.308
2020/4/15,10447.21,30.231
2020/4/16,10375.48,30.152
2020/4/17,10597.04,30.16
2020/4/20,10586.71,30.152
2020/4/21,10288.42,30.103
2020/4/22,10307.74,30.12
2020/4/23,10366.51,30.071
2020/4/24,10347.36,30.031
2020/4/27,10567.27,30.12
2020/4/28,10616.06,30.102
2020/4/29,10772.22,30.072
2020/4/30,10992.14,30.102
2020/5/4,10720.48,30.1
2020/5/5,10774.61,30.072
2020/5/6,10774.98,30.08
2020/5/7,10842.92,30.025
2020/5/8,10901.42,30.036
2020/5/11,11013.26,29.951
2020/5/12,10879.47,29.802
2020/5/13,10938.27,29.9
2020/5/14,10780.88,29.88
2020/5/15,10814.92,29.91
2020/5/18,10740.55,29.95
2020/5/19,10860.44,29.902
2020/5/20,10907.8,29.861
2020/5/21,11008.31,29.92
2020/5/22,10811.15,29.906
2020/5/25,10871.18,29.948
2020/5/26,10997.21,29.95
2020/5/27,11014.66,29.98
2020/5/28,10944.19,29.95
2020/5/29,10942.16,29.96
2020/6/1,11079.02,29.95
2020/6/2,11127.93,30.009
2020/6/3,11320.16,30.076
2020/6/4,11393.23,29.988
2020/6/5,11479.4,30.03
2020/6/8,11610.32,30.045
2020/6/9,11637.11,30.032
2020/6/10,11720.16,29.952
2020/6/11,11535.77,29.988
2020/6/12,11429.94,29.905
2020/6/15,11306.26,29.926
2020/6/16,11511.64,29.839
2020/6/17,11534.59,29.811
2020/6/18,11548.33,29.803
2020/6/19,11549.86,29.716
2020/6/22,11572.93,29.733
2020/6/23,11612.36,29.762
2020/6/24,11660.67,29.77
2020/6/29,11542.62,29.704
2020/6/30,11621.24,29.682
2020/7/1,11703.42,29.655
2020/7/2,11805.14,29.66
2020/7/3,11909.16,29.66
2020/7/6,12116.7,29.66
2020/7/7,12092.97,29.635
2020/7/8,12170.19,29.64
2020/7/9,12192.69,29.625
2020/7/10,12073.68,29.66
2020/7/13,12211.56,29.612
2020/7/14,12209.01,29.586
2020/7/15,12202.85,29.609
2020/7/16,12157.74,29.551
2020/7/17,12181.56,29.58
2020/7/20,12174.54,29.606
2020/7/21,12397.55,29.581
2020/7/22,12473.27,29.613
2020/7/23,12413.04,29.584
2020/7/24,12304.04,29.595
2020/7/27,12588.3,29.582
2020/7/28,12586.73,29.596
2020/7/29,12540.97,29.593
2020/7/30,12722.92,29.565
2020/7/31,12664.8,29.553
2020/8/3,12513.03,29.527
2020/8/4,12709.92,29.536
2020/8/5,12802.3,29.556
2020/8/6,12913.5,29.507
2020/8/7,12828.87,29.502
2020/8/10,12894,29.501
2020/8/11,12780.19,29.521
2020/8/12,12670.35,29.502
2020/8/13,12763.13,29.531
2020/8/14,12795.46,29.539
2020/8/17,12956.11,29.506
2020/8/18,12872.14,29.503
2020/8/19,12778.64,29.514
2020/8/20,12362.64,29.52
2020/8/21,12607.84,29.531
2020/8/24,12647.13,29.54
2020/8/25,12758.25,29.536
2020/8/26,12833.29,29.542
2020/8/27,12797.31,29.526
2020/8/28,12728.85,29.518
2020/8/31,12591.45,29.508
2020/9/1,12703.28,29.522
2020/9/2,12699.5,29.512
2020/9/3,12757.97,29.517
2020/9/4,12637.95,29.507
2020/9/7,12601.4,29.515
2020/9/8,12663.56,29.51
2020/9/9,12608.58,29.521
2020/9/10,12691.75,29.526
2020/9/11,12675.95,29.521
2020/9/14,12787.82,29.526
2020/9/15,12845.65,29.531
2020/9/16,12976.76,29.537
2020/9/17,12872.74,29.524
2020/9/18,12875.62,29.505
2020/9/21,12795.12,29.53
2020/9/22,12645.51,29.519
2020/9/23,12583.88,29.506
2020/9/24,12264.38,29.486
2020/9/25,12232.91,29.38
2020/9/28,12462.76,29.308
2020/9/29,12467.73,29.31
2020/9/30,12515.61,29.152
2020/10/5,12548.28,29.158
2020/10/6,12704.23,29.202
2020/10/7,12746.37,29.216
2020/10/8,12887.19,29.318
2020/10/12,12955.91,29.275
2020/10/13,12947.13,29.276
2020/10/14,12919.31,29.22
2020/10/15,12827.82,29.151
2020/10/16,12750.37,29.126
2020/10/19,12908.34,29.02
2020/10/20,12862.37,28.96
2020/10/21,12877.25,28.965
2020/10/22,12917.03,28.966
2020/10/23,12898.82,28.909
2020/10/26,12909.03,28.92
2020/10/27,12875.01,28.952
2020/10/28,12793.75,28.96
2020/10/29,12662.91,28.979
2020/10/30,12546.34,28.95
2020/11/2,12591.31,28.932
2020/11/3,12736.01,28.892
2020/11/4,12867.9,28.903
2020/11/5,12918.8,28.917
2020/11/6,12973.53,28.902
2020/11/9,13127.47,28.872
2020/11/10,13081.72,28.906
2020/11/11,13262.19,28.914
2020/11/12,13221.78,28.925
2020/11/13,13273.33,28.909
2020/11/16,13551.83,28.92
2020/11/17,13593.01,29.006
2020/11/18,13773.29,28.874
2020/11/19,13722.43,28.876
2020/11/20,13716.44,28.825
2020/11/23,13878.01,28.856
2020/11/24,13807.13,28.83
2020/11/25,13738.83,28.86
2020/11/26,13845.66,28.847
2020/11/27,13867.09,28.81
2020/11/30,13722.89,28.815
2020/12/1,13885.67,28.758
2020/12/2,13989.14,28.818
2020/12/3,13977.09,28.82
2020/12/4,14132.44,28.803
2020/12/7,14256.6,28.831
2020/12/8,14360.4,28.816
2020/12/9,14390.14,28.811
2020/12/10,14249.49,28.811
2020/12/11,14261.69,28.824
2020/12/14,14211.05,28.837
2020/12/15,14068.52,28.766
2020/12/16,14304.46,28.668
2020/12/17,14258.93,28.521
2020/12/18,14249.96,28.534
2020/12/21,14384.96,28.516
2020/12/22,14177.46,28.51
2020/12/23,14223.09,28.506
2020/12/24,14280.28,28.44
2020/12/25,14331.42,28.45
2020/12/28,14483.07,28.46
2020/12/29,14472.05,28.476
2020/12/30,14687.7,28.481
2020/12/31,14732.53,28.489
2021/1/4,14902.03,28.517
2021/1/5,15000.03,28.545
2021/1/6,14983.13,28.555
2021/1/7,15214,28.533
2021/1/8,15463.95,28.541
2021/1/11,15557.3,28.525
2021/1/12,15500.7,28.515
2021/1/13,15769.98,28.507
2021/1/14,15707.19,28.508
2021/1/15,15616.39,28.424
2021/1/18,15612,28.402
2021/1/19,15877.37,28.407
2021/1/20,15806.18,28.429
2021/1/21,16153.77,28.457
2021/1/22,16019.03,28.485
2021/1/25,15946.54,28.481
2021/1/26,15658.85,28.445
2021/1/27,15701.45,28.467
2021/1/28,15415.88,28.48
2021/1/29,15138.31,28.49
2021/2/1,15410.09,28.471
2021/2/2,15760.05,28.415
2021/2/3,15771.32,28.373
2021/2/4,15706.22,28.381
2021/2/5,15802.4,28.391
2021/2/17,16362.29,28.41
2021/2/18,16424.51,28.38
2021/2/19,16341.38,28.422
2021/2/22,16410.16,28.412
2021/2/23,16443.4,28.385
2021/2/24,16212.53,28.387
2021/2/25,16452.18,28.377
2021/2/26,15953.8,28.382
2021/3/2,15946.88,28.39
2021/3/3,16211.73,28.38
2021/3/4,15906.41,28.33
2021/3/5,15855.23,28.338
2021/3/8,15820.11,28.338
2021/3/9,15853.09,28.336
2021/3/10,15911.67,28.302
2021/3/11,16179.56,28.306
2021/3/12,16255.18,28.256
2021/3/15,16249.33,28.306
2021/3/16,16313.16,28.319
2021/3/17,16215.82,28.258
2021/3/18,16287.84,28.266
2021/3/19,16070.24,28.276
2021/3/22,16189.22,28.303
2021/3/23,16177.59,28.39
2021/3/24,16032.12,28.326
2021/3/25,16060.14,28.241
2021/3/26,16305.88,28.187
2021/3/29,16475.97,28.243
2021/3/30,16554.9,28.263
2021/3/31,16431.13,28.302
2021/4/1,16571.28,28.306
2021/4/6,16739.87,28.463
2021/4/7,16815.36,28.492
2021/4/8,16926.44,28.482
2021/4/9,16854.1,28.538
2021/4/12,16859.7,28.61
2021/4/13,16824.91,28.602
2021/4/14,16865.97,28.552
2021/4/15,17076.73,28.519
2021/4/16,17158.81,28.531
2021/4/19,17263.28,28.533
2021/4/20,17323.87,28.486
2021/4/21,17202.11,28.427
2021/4/22,17096.97,28.43
2021/4/23,17300.27,28.436
2021/4/26,17572.29,28.459
2021/4/27,17595.9,28.465
2021/4/28,17567.53,28.435
2021/4/29,17566.66,28.382
2021/5/3,17222.35,28.341
2021/5/4,16933.78,28.205
2021/5/5,16843.44,28.138
2021/5/6,16994.36,28.151
2021/5/7,17285,28.141
2021/5/10,17235.61,28.111
2021/5/11,16583.13,27.959
2021/5/12,15902.37,27.905
2021/5/13,15670.1,27.938
2021/5/14,15827.09,27.95
2021/5/17,15353.89,27.979
2021/5/18,16145.98,27.952
2021/5/19,16132.66,27.96
2021/5/20,16042.36,27.99
2021/5/21,16302.06,27.908
2021/5/24,16338.29,27.816
2021/5/25,16595.67,27.952
2021/5/26,16643.69,27.955
2021/5/27,16601.61,27.996
2021/5/28,16870.86,28.012
2021/5/31,17068.43,28.042
2021/6/1,17162.38,27.952
2021/6/2,17165.04,27.982
2021/6/3,17246.16,28.012
2021/6/4,17147.41,27.94
2021/6/7,17083.91,27.95
2021/6/8,17076.21,27.876
2021/6/9,16966.22,27.821
2021/6/10,17159.22,27.822
2021/6/11,17213.52,27.767
2021/6/15,17371.29,27.657
2021/6/16,17307.86,27.637
2021/6/17,17390.61,27.72
2021/6/18,17318.54,27.704
2021/6/21,17062.98,27.721
2021/6/22,17075.55,27.712
2021/6/23,17336.71,27.703
2021/6/24,17407.96,27.767
2021/6/25,17502.99,27.704
2021/6/28,17590.97,27.631
2021/6/29,17598.19,27.652
2021/6/30,17755.46,27.691
2021/7/1,17713.94,27.765
2021/7/2,17710.15,27.81
2021/7/5,17919.33,27.952
2021/7/6,17913.07,27.962
2021/7/7,17850.69,28.006
2021/7/8,17866.09,28.002
2021/7/9,17661.48,27.907
2021/7/12,17814.33,27.91
2021/7/13,17847.52,27.908
2021/7/14,17845.75,27.87
2021/7/15,18034.19,27.904
2021/7/16,17895.25,27.99
2021/7/19,17789.25,27.915
2021/7/20,17528.74,27.916
2021/7/21,17458.79,27.993
2021/7/22,17572.33,28.034
2021/7/23,17572.92,28.086
2021/7/26,17403.56,28.015
2021/7/27,17269.87,27.997
2021/7/28,17135.22,28.007
2021/7/29,17402.81,27.892
2021/7/30,17247.41,28.005
2021/8/2,17503.28,28.052
2021/8/3,17553.76,28.06
